"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1553","Verify Subscription in home page","","Fri Jun 13 10:48:01 GMT 2025","passed","Fri Jun 13 10:48:02 GMT 2025","","Header feature  test","",""
"","2714","Register User with existing email","","Fri Jun 13 10:46:53 GMT 2025","passed","Fri Jun 13 10:46:56 GMT 2025","","Account Testcases","",""
"","2424","API Test - Login","","Fri Jun 13 10:47:03 GMT 2025","passed","Fri Jun 13 10:47:05 GMT 2025","","API Test Dependency","",""
"","4233","Login User with incorrect email and password","","Fri Jun 13 10:46:42 GMT 2025","passed","Fri Jun 13 10:46:46 GMT 2025","","Account Testcases","",""
"","10470","Place Order: Register before Checkout","","Fri Jun 13 10:47:26 GMT 2025","passed","Fri Jun 13 10:47:37 GMT 2025","","Check out test cases","",""
"","3345","Add Products in Cart","","Fri Jun 13 10:48:18 GMT 2025","passed","Fri Jun 13 10:48:22 GMT 2025","","Product Page test cases","",""
"","8545","Login User with correct email and password","","Fri Jun 13 10:46:33 GMT 2025","passed","Fri Jun 13 10:46:42 GMT 2025","","Account Testcases","",""
"","6353","Logout User","","Fri Jun 13 10:46:46 GMT 2025","passed","Fri Jun 13 10:46:53 GMT 2025","","Account Testcases","",""
"","2275","Remove Products From Cart","","Fri Jun 13 10:48:39 GMT 2025","passed","Fri Jun 13 10:48:41 GMT 2025","","Home Page test cases","",""
"","1896","API Test - Register","","Fri Jun 13 10:47:01 GMT 2025","passed","Fri Jun 13 10:47:03 GMT 2025","","API Test Dependency","",""
"","3435","Add review on product","","Fri Jun 13 10:48:33 GMT 2025","passed","Fri Jun 13 10:48:36 GMT 2025","","Product Page test cases","",""
"","7573","Search Products and Verify Cart After Login","","Fri Jun 13 10:48:25 GMT 2025","passed","Fri Jun 13 10:48:33 GMT 2025","","Product Page test cases","",""
"","9731","Download Invoice after purchase order","","Fri Jun 13 10:47:37 GMT 2025","passed","Fri Jun 13 10:47:46 GMT 2025","","Check out test cases","",""
"","2471","View Category Products","","Fri Jun 13 10:48:41 GMT 2025","passed","Fri Jun 13 10:48:44 GMT 2025","","Home Page test cases","",""
"","10503","Place Order: Register while Checkout","","Fri Jun 13 10:47:16 GMT 2025","passed","Fri Jun 13 10:47:26 GMT 2025","","Check out test cases","",""
"","2492","Verify Product quantity in Cart","","Fri Jun 13 10:48:36 GMT 2025","passed","Fri Jun 13 10:48:39 GMT 2025","","Home Page test cases","",""
"","1865","Verify Subscription in Cart page","","Fri Jun 13 10:48:03 GMT 2025","passed","Fri Jun 13 10:48:04 GMT 2025","","Header feature  test","",""
"","1688","Add to cart from Recommended items","","Fri Jun 13 10:48:44 GMT 2025","passed","Fri Jun 13 10:48:45 GMT 2025","","Home Page test cases","",""
"","3135","Verify All Products and product detail page","","Fri Jun 13 10:48:13 GMT 2025","passed","Fri Jun 13 10:48:16 GMT 2025","","Product Page test cases","",""
"","11025","Register User","","Fri Jun 13 10:46:22 GMT 2025","passed","Fri Jun 13 10:46:33 GMT 2025","","Account Testcases","",""
"","2987","View & Cart Brand Products","","Fri Jun 13 10:48:22 GMT 2025","passed","Fri Jun 13 10:48:25 GMT 2025","","Product Page test cases","",""
"","1281","API Test - Delete User","","Fri Jun 13 10:47:09 GMT 2025","passed","Fri Jun 13 10:47:10 GMT 2025","","API Test Dependency","",""
"","1132","Verify Scroll Up without 'Arrow' button and Scroll Down functionality","","Fri Jun 13 10:48:06 GMT 2025","passed","Fri Jun 13 10:48:07 GMT 2025","","Header feature  test","",""
"","1515","Verify Scroll Up using 'Arrow' button and Scroll Down functionality","","Fri Jun 13 10:48:04 GMT 2025","passed","Fri Jun 13 10:48:06 GMT 2025","","Header feature  test","",""
"","1603","Verify Test Cases Page","","Fri Jun 13 10:47:59 GMT 2025","passed","Fri Jun 13 10:48:01 GMT 2025","","Header feature  test","",""
"","7266","Contact Us Form","","Fri Jun 13 10:47:52 GMT 2025","passed","Fri Jun 13 10:47:59 GMT 2025","","Header feature  test","",""
"","3530","API Test - Get User","","Fri Jun 13 10:47:06 GMT 2025","passed","Fri Jun 13 10:47:09 GMT 2025","","API Test Dependency","",""
"","2541","Search Product","","Fri Jun 13 10:48:16 GMT 2025","passed","Fri Jun 13 10:48:18 GMT 2025","","Product Page test cases","",""
